the boy that ignores the farmer avoids the man,DP,masculine,singular,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the brother that defends the farmer stops the friends,DP,masculine,singular,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
a man that avoids the son greets a mother,DP,masculine,singular,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the student that meets the man stops the mothers,DP,masculine,singular,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
man that watches the friends blocks farmers,DP,masculine,singular,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
friend that interrupts the actors observes daughter,DP,masculine,singular,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
a son that observes the actors welcomes a students,DP,masculine,singular,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the brother that meets the student watches the farmers,DP,masculine,singular,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
brother that meets the sister ignores farmer,DP,masculine,singular,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the brother that greets the farmer ignores the sisters,DP,masculine,singular,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
a student that knows the girls defends a father,DP,masculine,singular,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the brother that attracts the sisters avoids the boys,DP,masculine,singular,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
a brother that greets the actresses interrupts a sister,DP,masculine,singular,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the friend that attracts the girls defends the students,DP,masculine,singular,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the brothers that watch the father avoid the boy,DP,masculine,plural,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
a farmers that attract the boy ignore a students,DP,masculine,plural,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
sons that stop the student ignore girl,DP,masculine,plural,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
farmers that attract the student greet daughters,DP,masculine,plural,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
friends that avoid the farmers greet student,DP,masculine,plural,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
a friends that know the men greet a farmers,DP,masculine,plural,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
brothers that defend the friends block daughters,DP,masculine,plural,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
boys that interrupt the mother know friend,DP,masculine,plural,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
a friends that defend the woman interrupt a boys,DP,masculine,plural,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the brothers that ignore the women welcome the boy,DP,masculine,plural,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the fathers that know the sisters defend the sons,DP,masculine,plural,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the friends that avoid the students defend the girl,DP,masculine,plural,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
a sons that interrupt the sisters ignore a girls,DP,masculine,plural,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
friend that stops the student knows brother,DP,feminine,singular,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the sister that knows the student greets the sons,DP,feminine,singular,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the mother that watches the student stops the girl,DP,feminine,singular,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
a student that blocks the man welcomes a sisters,DP,feminine,singular,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
a sister that interrupts the students blocks a boys,DP,feminine,singular,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
mother that watches the boys interrupts farmer,DP,feminine,singular,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
girl that avoids the brothers knows daughters,DP,feminine,singular,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the sister that welcomes the mother attracts the sons,DP,feminine,singular,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the woman that defends the actress blocks the friend,DP,feminine,singular,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
a friend that blocks the farmers observes an actor,DP,feminine,singular,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the sister that blocks the girls avoids the students,DP,feminine,singular,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
girl that watches the sisters interrupts actress,DP,feminine,singular,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
a daughter that meets the mothers avoids an actresses,DP,feminine,singular,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
girls that interrupt the farmer greet man,DP,feminine,plural,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the sisters that interrupt the father avoid the friends,DP,feminine,plural,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the daughters that stop the brother meet the student,DP,feminine,plural,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
friends that defend the brothers block students,DP,feminine,plural,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the actresses that meet the boys greet the student,DP,feminine,plural,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the mothers that greet the farmers know the sisters,DP,feminine,plural,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
daughters that greet the farmer interrupt friend,DP,feminine,plural,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the actresses that avoid the mother meet the boys,DP,feminine,plural,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the students that avoid the mother ignore the friend,DP,feminine,plural,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the women that observe the actress interrupt the students,DP,feminine,plural,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the sisters that observe the women block the boy,DP,feminine,plural,,DP,masculine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
daughters that welcome the women stop brothers,DP,feminine,plural,,DP,masculine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the women that defend the girls attract the friend,DP,feminine,plural,,DP,feminine,singular,,FAILED,declarative,,,,,subject,yes,yes,,
the actresses that avoid the students attract the girls,DP,feminine,plural,,DP,feminine,plural,,FAILED,declarative,,,,,subject,yes,yes,,
the student that the man welcomes blocks the son,DP,masculine,singular,,DP,masculine,singular,,FAILED,declarative,,,,,object,w1__number == w2__number,w1__gender == w2__gender,,
the actor that the boy ignores observes the women,DP,masculine,singular,,DP,feminine,plural,,FAILED,declarative,,,,,object,w1__number == w2__number,w1__gender == w2__gender,,
the boy that the fathers ignore defends the man,DP,masculine,singular,,DP,masculine,singular,,FAILED,declarative,,,,,object,w1__number == w2__number,w1__gender == w2__gender,,
the son that the men greet attracts the mother,DP,masculine,singular,,DP,feminine,singular,,FAILED,declarative,,,,,object,w1__number == w2__number,w1__gender == w2__gender,,
student that the friends attract watches women,DP,masculine,singular,,DP,feminine,plural,,FAILED,declarative,,,,,object,w1__number == w2__number,w1__gender == w2__gender,,
an actor that the woman interrupts stops a friend,DP,masculine,singular,,DP,masculine,singular,,FAILED,declarative,,,,,object,w1__number == w2__number,w1__gender == w2__gender,,
a man that the friend meets knows an actress,DP,masculine,singular,,DP,feminine,singular,,FAILED,declarative,,,,,object,w1__number == w2__number,w1__gender == w2__gender,,
